Original,Translate_de_1,Translate_de_2
"I’ faccia grazia, e ragion lo comanda,","und tun Sie es mit Dank, die Vernunft befiehlt es,","Und tun Sie es freundlich, die Logik verlangt es."
"Ché voi non siete orgolliose né fiere,","weil ihr weder umsonst noch stolz seid,","aber demütig; denn ihr seid weder anmaßend noch arrogant, sondern bescheiden."
Ma siete molto nobili parliere.,Aber Sie sind sehr edle Redner.,Ihr seid sehr rücksichtsvoll.
"Vengha il valetto, e vada, a sua comanda,","Der junge Mann kann kommen und nach Belieben gehen,","Der junge Mann kann sich frei bewegen, kommen und gehen, wie er will."
"Ma non ched egli al Fior   sua mano ispanda,","Aber solange du nicht versuchst, die Blume zu berühren,","Aber nur, wenn er die Blume nicht berührt."
"Ch’a•cciò no•gli varrian vostre preghiere,",denn deine Gebete werden ihm nicht helfen.,denn deine Bitten werden ihn nicht unterstützen.
"Perciò che•lla figluola Cortesia,","Deshalb die Tochter von Lady Courtesy,","Serena, bat darum, dass die Nachkommen der Frau Courtesia, Serena, um Unterstützung"
"Bellacoglienza, ch’è dama del Fiore,","Schöne Begrüßung, die für die Blume verantwortlich ist,","hat beschlossen, die Bedingungen zu ändernBell Rezeption, die für die Blume verantwortlich ist, hat beschlossen, die Parameter zu ändern."
Sì ’l mi porebe a gran ricredentia.,"Ich dachte, meine Manieren sind gut.","Ich dachte, meine freundliche Art und Weise."
Ma fate che•lla Dama al Die d’Amore,Aber lasst die Dame des Gottes der Liebe,Aber lassen Sie die Frau des Gottes des Leidens
Faccia a Bellacoglienza pregheria,appellieren Sie an Bellaccoglieza,startet eine Einladung nach Bellaccoglieza
"Di lui, e che•lle schaldi un poco il core».",so dass sein Herz ein wenig erwärmt werden kann.,Damit sein Herz ein wenig gestärkt werden kann.
"Quand’i’ vidi lo Schifo sì adolzito,","Als ich sah, wie der Widerstand weich war,","Ich fühlte mich traurig.Als ich sah, wie der Widerstand weich war, fühlte ich mich traurig."
"Che solev’esser più amar che fele,",der gewöhnlich bitterer war als der Fiel,die gewöhnlich härter war als Gift
"Ed i’ ’l trova’ vie più dolcie che mele,","Aber ich fand es viel süßer als Honig,",Aber ich fand es viel süßer als Honig.
Sapiate ch’i’ mi tenni per guerito.,"Du solltest wissen, dass ich mich für geheilt hielt.","Du solltest wissen, dass ich mich für wiederhergestellt hielt."
Nel giardin me n’andai molto gichito,Ich ging in den sehr unterwürfigen Garten.,Ich ging in den sehr gehorsamen Garten.
"Per dotta di misfar a quel crudele,","aus Angst davor, diesen Grausamen zu beleidigen,","Er wagte es nicht, aus Furcht vor dem Schläger zu sprechen, er hatte nicht den Mut, ein Wort zu sagen."
E gli giurai a le sante,Und ich schwur ihm bei den Heiligen.,Und ich habe ihm feierlich versprochen.
Ch’e’ per me non sarebe mai marrito.,Dass er nie beängstigend gewesen wäre.,Dass er nie betrübt gewesen wäre.
Allor mi disse: «I’ vo’ ben che•ttu venghi,"Dann sagte er zu mir: ""Ich will wirklich, dass du kommst.""","Da sagte er zu mir: ""Ich wünschte, du würdest kommen."""
"Dentr’al giardin[o], sì com’e’ ti piace,","im Garten, weil du es magst,","im Inneren des Gartens, weil du es gemocht hast."
Ma’ che lungi dal Fior le tue man tenghi.,Solange du deine Hände von der Blume fern hältst.,Solange du deine Finger von der Blume fern hältst.
Le buone donne fatt’ànno far pacie,Gute Frauen haben Frieden geschaffen,Die guten Damen haben die Eintracht geschaffen.
"Tra me e te: or fa che•lla mantenghi,","zwischen uns: Jetzt stellen Sie sicher, dass Sie halten","das Geheimnis zwischen uns beiden jetzt stellen Sie sicher, dass die Intimität zu bewahren"
Sì che verso di me non sie fallacie».,Damit ich mein Vertrauen nicht verrate.,Damit ich meine Loyalität nicht brechen kann.
"Venusso, ch’è socorso degli amanti,","Venus, die die Verliebten rettet,","ist ein PlanetVenus, der Liebesliebhaber unterstützt, ist ein Globus"
"Ven’ a Bellacoglienza col brandone,","kam von Bell Begrüßung mit einer Taschenlampe,",Er kam aus Bell's Begrüßung mit einer Lampe.
"E’ si rechava,   a guisa di penone,",und hielt ihn wie einen Speer,die er angriff wie eine Pfeife
Per avanpar chiunque l’è davanti.,"um alle zu verbrennen, die er trifft.","um jeden zu entzünden, den er trifft."
"A voler racontar de’ suo’ senbianti,","Erzählen zu wollen, wie er aussieht.",Um seine Erscheinungen beschreiben zu wollen
"E de la sua tranobile fazone,","und seine edle Vorkehrung,","und seine Großmut,"
Sarebe assai vie più lungo sermone,"Es würde viel länger dauern, das zu sagen.","Es würde eine enorme Zeit brauchen, um das auszudrücken."
Ch’a sermonar la vita a tutti i santi.,das Leben aller Heiligen zu erzählen.,Erzählen Sie die Biographie jedes Heiligen.
Quando Bellacoglienza sentì ’l caldo,Wenn Schöne Begrüßung fühlte sich die Hitze,Umarmung der FreundinWenn Schöne Begrüßung wahrgenommen die liebevolle Umarmung der Partnerin.
"Di quel brandon,   che così l’avanpava,","von der Fackel, die sie brannte,","Die Laterne, die sie leuchten ließ."
Sì tosto fu ’l su’ cuor col mio saldo.,Und sein Herz schloß sich mir an.,Sein Herz stürmte sofort mit meinem.
"E Venusso, ch’a•cciò la confortava,","und die Venus, die sie dazu ermahnte,","und die Venus, die sie dazu aufrief,"
"Si trasse verso lei col viso baldo,",Sie näherte sich ihr mit dem möglichen Gesicht,Sie näherte sich ihr mit imposanten Gesicht.
Diciendo che ve•me troppo fallava:,"Er sagte, er sei schuldig für mich.","Er sagte, er sei für mich verantwortlich."
"«Tu falli tropo verso quell’Amante,»",Venus sagte: Du machst einen großen Fehler gegen diese Geliebte,"Venus sagte: ""Du machst einen schweren Fehler gegen diese Geliebte."
"Disse Venusso «che cotanto t’ama,","sagte Venus, der dich so sehr liebt;","Er rief die Venus aus, die dich so sehr liebt."
"Néd i’ non so al mondo sì gran dama,",Ich kenne keine große Dame auf der Welt.,Ich kenne keine prominente Frau in der Welt.
"Che di lui dovess’eser rifusante,","Dass er sich weigerte,",dass er es nicht akzeptieren sollte
"Ch’egli è giovane, bello e avenante,","weil er jung, schön und charmant ist,","Alle lieben ihnDank seiner Charme, Schönheit und jungen Alter, alle haben eine große Sympathie für ihn."
"Cortese, franco e pro, di buona fama:","höflich, loyal, mutig und respektiert.","Höflichkeit, Loyalität, Kühnheit und Respekt sind Eigenschaften, die von allen geschätzt werden."
"Promettili un basciar, e a•tte ’l chiama,",Versprich ihm einen Kuss und ruf ihn an.,Versprich ihm einen Kuss und lade ihn zu dir ein.
Ch’e’ non à huon nel mondo più cielante».,Denn niemand auf der Welt ist diskreter als er.,denn niemand auf der Welt ist geheimer als er.
Bellacoglienza disse: «I’ vo’ che vegnia,"Und er sprach: Ich will, daß er kommt.","begrüßtBell empfängt sagte: Ich möchte, dass es begrüßt wird"
"E basci il Fior, che tanto gli è piaciere,","und küsst die Blume, die so sehr mag,","Sie streichelt die Pflanze, die sie so sehr mag."
"Ma ched e’ sagiamente si contegnia,","Aber es ist weise, daß er sich darin befindet.",daß sie aber weise bleibt.
"Che siate cierto, ch’e’ no•m’è spiaciere».","Ihr seid sicher, dass es mir nicht leid tut.","dass ihr sicher seid, dass das nicht mein Bedauern ist."
«Or gli ne manda alcuna buona ’nsegna»,Jetzt schick ihm ein gutes Zeichen.,Senden Sie ihm jetzt ein gutes Omen
"Disse Venùs, «e fagliele a sapere».",Sagte Venus und sag ihm Bescheid.,Er behauptete die Venus und informierte sie
Per Bel-Senbiante e per Dolze-Riguardo,für schöne Erscheinung und für süßen Blick,für attraktive Äußerlichkeit und liebenswerter Blick
Mi mandò la piaciente ch’i’ andasse,"Er hat mich informiert, dass ich gehe.","Er hat mir gesagt, dass ich gehen soll."
"Nel su’ giardin, e ch’io il Fior basciase,",im Garten und die Blume küssen,im Garten und küsste die Blüte
"Né non portasse   già lancia né dardo,","weder Speere noch Pfeile tragen,",weder Waffen noch Pfeile einführen
Ché lo Schifo era fatto sì codardo,weil der Widerstand so feige geworden war,?Warum war der Widerstand so beängstigend geworden?
Ch’e’ non mi bisogniava ch’i ’l dottasse.,Ich brauchte ihn nicht zu fürchten.,"Es gab keinen Grund, Angst vor ihm zu haben."
"Ma tuttor non volea ched i’ v’entrasse,","Aber er wollte nicht, dass ich hineingehe.","Aber er wollte nicht, dass ich euch durchdringe."
"Sed e’ non fosse nocte ben a tardo,","Es sei denn, es war spät in der Nacht.","Es sei denn, es war besonders spät in der Nacht."
Perciò che Chastità e Gielosia,Darum Keuschheit und Eifersucht,"in der Folge, dass Fäulnis und Neid"
Sì ànno messo Paura e Vergognia,Jahr anvertraut Angst und Scham,"Jahr, das mit Furcht und Verlegenheit bevorsteht"
"In le’ guardar, che non faccia follia,","Sie anschauen, nicht verrückt machen","Sie zu beobachten, dass sie nichts Blödes tut"
"Ed un villan, che truov’ognie menzognia,","und ein Heiland, der jede Lüge findet","ist ein Bösewicht, der alles Falsche findet"
"La guarda, il qual fu nato in Normandia:","Sie schaut sie an, die in der Normandie geboren wurde.","Die Wache, deren Betrieb in der Normandie geboren wurde."
"Malabocha, «Que’ c’ognie mal sanpogna».","Malabocha, der die Quelle aller Übel ist.","Böse, die Quelle aller Bosheit."
"Udendo quella nobile novella,",Diese edle Geschichte hören,"zu hören, dass illustrierte Erzählung"
"Che que’ gienti messagi m’aportaro,",Sie wurden mir von diesen Boten gebracht.,Ich wurde von diesen Gesandten geführt.
Sì forte mente il cuor   mi confortaro,Ich habe so viel Trost in meinem Herzen gespürt.,Ich habe einen großen Trost in meiner Seele erfahren.
Che di gioia perde’ quasi la favella.,Dass ich aus Freude fast die Kraft des Wortes verloren habe.,"Dass ich fast meine Fähigkeit, zu sprechen, verlor, weil ich froh war."
"Nel giardin me n’anda’ tutto ’n gonella,","In den Garten kam ich in meine Glocke,",In den Garten kam ich in meine Hütte.
"Sanz’armadura, com’e’ comandaro,","ohne Waffen, wie sie es befohlen hatten.","unbewaffnet, wie vorgeschrieben."
E sì trovai quella col viso chiaro.,Und ich fand das mit dem hellen Gesicht.,Und ich habe das mit dem blassen Gesicht herausgefunden.
"Bellacoglienza tosto a•ssé m’apella,",Schöner Empfang sofort heiße ich,"Ich nehme sofort an, mein Name ist"
"E disse: «Vien avanti e bascia ’l Fiore,",und sprach: Komm her und küss die Blume;,"und sagte: ""Erweitere und streichle die Blume."
"Ma guarda di far cosa che mi spiaccia,","Aber schau, dass du nichts tust, was mir leid tut,","Aber vergewissere dich, dass du nichts tust, was mir Leid tut."
Ché•ttu ne perderesti ognie mio amore».,Weil du all meine Liebe verlieren würdest.,Weil du jede Spur meiner Zuneigung verlierst.
"Sì ch’i’ alor feci croce de le braccia,",Doch dann kreuzte ich meine Arme.,Da legte ich meine Hände auf meine Hüften.
E sì ’l basciai co•molto gran tremore.,"und küßte die Blume mit großem Zittern,",und umarmte die Blume mit großer Furcht.
Sì forte ridottava suo minaccia.,so verängstigt von seiner Drohung,so erschrocken durch seine Einschüchterung
Del molto olor ch’al cor m’entrò basciando,"des Parfüms, das mir ins Herz kam, als ich küsste","des intensiven Aromas, das meine Seele durchdrungen hat, während ich küsste"
"Quel pretioso Fior, che tanto aulia,","die kostbare Blume, die so duftend ist","das blühende Blütenblatt, das so duftend ist"
Contar né dir per me non si poria.,Ich bin nicht in der Lage zu sprechen oder zu sagen;,Ich bin nicht in der Lage zu sprechen oder zu sprechen.
Ma dirò come ’l mar s’andò   turbando,"aber ich werde sagen, wie das Meer wurde stürmisch","aber ich werde beschreiben, wie das Meer aufgeregt wurde"
"Per MalaBocha, quel ladro normando,","für Malabocha, den normannischen Dieb,","Es war eine echte Herausforderung für Malabocha, diesen normannischen Räuber, war eine echte Provokation."
Che se n’avide e svegliò Gielosia,der das Ereignis sah und die Eifersucht auferweckte,Er beobachtete die Episode und weckte Rivalität.
"E Chastità, ché ciaschuna dormia,","und die Keuschheit, die jeder schlief.","und die Reinheit, die jeder ruhte."
Perch’i’ fu’ del giardin rimesso in bando.,Und ich wurde wieder aus dem Garten geworfen.,Deshalb wurde ich wieder aus dem Garten vertrieben.
"E sì vi conterò de la forteza,",Und nun werde ich euch von der Festung erzählen,Ich zeige Ihnen die Festung.
"Dove Bellacoglienza fu ’n prigione,",wo Bell empfängt war im Gefängnis,wo Bell empfängt wurde in Gewahrsam
Ch’Amor abatté poi per su’ prodezza;,Was die Liebe mit ihrer Kraft zerstört hat.,"Das, was die Liebe mit ihrer Stärke zerrissen hat."
E come Schifo mi tornò fellone,und wie der Widerstand feindlich geworden ist,und wie der Widerstand feindlich geworden ist
E lungo tenpo mi tene in distreza;,"und er hatte mich lange in Angst,",Und es bereitete mir auf lange Sicht große Sorgen.
E come ritornò a me Ragione.,und wie die Vernunft zu mir zurückgekehrt ist.,und wie die Vernunft von mir wieder aufgetaucht ist.
"Castità, che da Veno è guereggiata,","Keuschheit, gegen die Venus Krieg führt,","ist die schönste TugendPudicizia, gegen die Venus kämpft, ist die Exzellenz unter den Qualitäten."
"Sì disse a Gielosia: «Per Dio, merzede!","Er sagte zu Eifersucht: ""Im Namen Gottes, erbarme dich!","Er sagte zu Neid: ""Im Namen Gottes erweist er Barmherzigkeit!"
"S’a questo fatto l’uon non ci provede,",wenn jemand dafür nicht sorgt,wenn diese Tatsache man nicht kümmert
I’ potre’ ben tosto esere adontata.,Ich könnte bald an Scham leiden.,Ich könnte bald unter Demütigung leiden.
"Vergognia e Paura m’ànno abandonata,",Scham und Angst haben mich verlassen;,Sie verließen mich mit Abscheu und Schrecken.
"In quello Schifo foll’è chi si crede,","in diesem Widerstand, an den Sie glauben",in diesem Glauben
Ch’i’ son ciertana   ch’e’ non ama a fede,"Denn ich bin sicher, er liebt nicht treu,","Weil ich sicher bin, dass er nicht loyal liebt."
Po’ del giardin sì mal guardò l’entrata.,Dann sah er sich den Eingang des Gartens so schlecht an.,dann beobachtete er den Eingang des Gartens so schlecht.
"Onde vo’ siete  la miglior guardiana,",wo ihr die beste Wächterin seid,wo ihr die zuverlässigste Hüterin seid
Ch’i’ ’n esto mondo potese trovare:,dass diese Welt finden könnte,"Frieden, dass diese Welt Harmonie erreichen könnte"
Gran luogo avete in  Lonbardia e ’n Toschana.,Sie sind in der Lombardei und in der Toskana bekannt.,Sie sind berühmt in der Lombardei und in der Toskana.
"Per Dio, ched e’ vi piaccia il Fior guardare,","Im Namen Gottes, schaut ihr gern die Blume an!","Im Namen des Göttlichen liebt es euch, die Schönheit zu betrachten!"
"Ché, se que’, che ’l basciò, punto lo sgrana,","Wenn er ihn küssen würde, müsste er ihn ruinieren.","Es wäre eine Tragödie, dass, wenn dieser Akt, dass ich ihn küsse, ihn verunreinigen würde, es eine Katastrophe wäre."
"Non fia misfatto, ch’uon poss’amendare».",Man kann es nie wiedergutmachen.,nicht Fehler begangen werden kann nie repariert werden.
"Gielosia disse: «I’ prendo a me la guarda,","Eifersucht sagte: ""Ich bewache mich.""","Eifersucht verkündete: ""Ich werde die Aufsicht übernehmen."""
"Ch’a ben guardar il Fior è mia credenza,","zu beobachten, die Blume ist mein Glaube","zu betrachten, die Blume ist mein Glaube"
"Ch’i’ avrò giente di tal provedenza,",daß ich solche Vorsehung habe.,dass ich Menschen von der Hilfe der Vorsehung haben werde
Ched i’ non dotto già che Veno gli arda».,"Ich habe keine Angst, dass Venus sie entzündet.","Ich fürchte nicht, dass Venus sie niederbrennt."
"Al giardin se n’andò, fier’ e ghagliarda,","In den Garten ging er, stolz und stark,","Im Garten ging er, stolz und mächtig."
"Ed ivi si trovò Bellacoglienza,",und finden Sie Schöne Begrüßung,und finden sie freundlichen Empfang
"E disele: «Tu à’ fatta tal falenza,","Sie sagte zu ihr: ""Du hast so einen Fehler gemacht.""","Sie sagte zu ihr: ""Du hast so eine Unachtsamkeit begangen."""
Ch’i’ ti tengho per folle e per musarda.,Ich halte euch für dumm und dumm.,Ich halte euch für unvernünftig und unvernünftig.
"Ed a voi dico, Paur’ e Vergognia,",Und ich sage euch: Angst und Schande,"Ich sage Euch, Angst und Ehrfurcht"
"Che chi di Fior guardar in voi si fida,","dass wir von euch vertrauen, die Blume zu sehen","von Lotoquali von Ihnen vertraut, die Loto-Blume zu erforschen"
