Original,Translate_en_1,Translate_en_2
Ché•ttu ne perderesti ognie mio amore».,Because you'd lose all my love.,because you would lose every trace of my affection.
"Sì ch’i’ alor feci croce de le braccia,","So I crossed my arms,",Then I put my hands on my hips.
E sì ’l basciai co•molto gran tremore.,"and kissed the Flower with great trembling,",and embraced the Flower with great trepidation.
Sì forte ridottava suo minaccia.,so frightened by his threat,so terrified by his intimidation
Del molto olor ch’al cor m’entrò basciando,of the very perfume that entered my heart as I kissed,of the intense aroma that pervaded my soul while kissing
"Quel pretioso Fior, che tanto aulia,",that precious flower that is so fragrant,that florid petal that is so fragrant
Contar né dir per me non si poria.,I can't speak or say;,I am unable to express myself or speak.
Ma dirò come ’l mar s’andò   turbando,but I'll tell you how the sea has become stormy,but I will describe how the sea has become agitated
"Per MalaBocha, quel ladro normando,","for Malabocha, that Norman thief,","It was a real challengeFor Malabocha, that Norman robber, it was a real provocation."
Che se n’avide e svegliò Gielosia,who saw the event and awakened jealousy,who observed the episode and raised rivalry.
"E Chastità, ché ciaschuna dormia,","and chastity, which each slept","and purity, which each rested"
Perch’i’ fu’ del giardin rimesso in bando.,whereupon I was cast out of the garden again.,So I was expelled again from the garden.
"E sì vi conterò de la forteza,",And now I'll tell you about the fortress,Now I'll show you the fortress.
"Dove Bellacoglienza fu ’n prigione,",where Bell's reception was in prison,where Beautiful reception was held
Ch’Amor abatté poi per su’ prodezza;,what Love has destroyed with its strength.,what Love has crumbled with its strength.
E come Schifo mi tornò fellone,and how the Resistance has become hostile,and how the Resistance has become hostile
E lungo tenpo mi tene in distreza;,"and held me in anguish for a long time,",and caused me deep anxiety for a long time.
E come ritornò a me Ragione.,and how Reason came back to me.,and how Reasonableness has emerged from me.
"Castità, che da Veno è guereggiata,","Chastity, against which Venus makes war,","is the most beautiful virtuePudicizia, against which Venus fights, is the excellence among the qualities."
"Sì disse a Gielosia: «Per Dio, merzede!","He said to jealousy: ""In the name of God, have mercy!","He said to envy: ""In God's name, show mercy!"
"S’a questo fatto l’uon non ci provede,",if to this fact one does not provide,if this fact one does not take care
I’ potre’ ben tosto esere adontata.,I may soon suffer from shame.,I may soon suffer from humiliation.
"Vergognia e Paura m’ànno abandonata,",shame and fear have forsaken me;,Disdain and trepidation left me.
"In quello Schifo foll’è chi si crede,",in that resistance in which one believes,in that convinced faith
Ch’i’ son ciertana   ch’e’ non ama a fede,"because I'm sure he doesn't love faithfully,",Because I'm sure he doesn't love with loyalty.
Po’ del giardin sì mal guardò l’entrata.,Then he looked at the entrance of the garden so badly.,Then he looked at the entrance of the garden so badly.
"Onde vo’ siete  la miglior guardiana,",where you are the best guardian,where you are the most trusted guardian
Ch’i’ ’n esto mondo potese trovare:,that this world could find,the peace that this world could achieve harmony
Gran luogo avete in  Lonbardia e ’n Toschana.,You are well known in Lombardy and Tuscany.,You are famous in Lombardy and Tuscany.
"Per Dio, ched e’ vi piaccia il Fior guardare,","In the name of God, may you enjoy looking at the Flower!","In the name of the Divine, may you enjoy contemplating Beauty!"
"Ché, se que’, che ’l basciò, punto lo sgrana,","that, if that, that I kiss him, should ruin him,","It would be a tragedy that if that act, that I kiss it, should deface it, it would be a catastrophe."
"Non fia misfatto, ch’uon poss’amendare».",It can never be corrected.,no error can never be repaired.
"Gielosia disse: «I’ prendo a me la guarda,","Jealousy said, ""I'll take my guard.""","Jealousy proclaimed, ""I will take over."""
"Ch’a ben guardar il Fior è mia credenza,",to look at the Flower is my belief,to contemplate the Flower is my belief
"Ch’i’ avrò giente di tal provedenza,",that I will have people of such providence,that I will have people with providential help
Ched i’ non dotto già che Veno gli arda».,that I am not afraid that Venus will inflame them.,that I have no fear that Venus will set them on fire.
"Al giardin se n’andò, fier’ e ghagliarda,","In the garden he went away, proud and strong,","In the garden he left, proud and powerful."
"Ed ivi si trovò Bellacoglienza,",and you find them Beautiful reception,and you find them Benign Reception
"E disele: «Tu à’ fatta tal falenza,","He said to her, ""You made such a mistake.""","He said to her, ""You've made such an inattention."""
Ch’i’ ti tengho per folle e per musarda.,that I consider you foolish and foolish.,that I judge you foolish and fatuous.
"Ed a voi dico, Paur’ e Vergognia,","And to you I say, Fear and Shame","To you I express, Fear and Disgust"
"Che chi di Fior guardar in voi si fida,",who trusts us to look at the Flower,of Lotos which of you trusts to search the Lotus Flower
Cierta son ch’e’ non à lett’ a Bolognia.,I'm sure you didn't study in Bologna.,I'm sure you didn't learn in Bologna.
"E quello Schifo, che punt’or non grida,","And that Resistance, which doesn't scream now,","And that Tenacia, who doesn't exclaim now."
"Gli varia me’ ch’e’ fosse in Catalognia,","It would be better for him if he were in Catalonia,","instead of MadridIt would be more beneficial for him if he were in Catalonia, rather than Madrid."
Sed e’ non guarda   ben ciò ch’egli à ’n guida».,if he is not able to protect what is in his care.,if he is not able to guard what is at his responsibility.
Vergognia contra terra il capo china,"Shame to bow your head to the ground,",Shame humbly bows down to the ground.
"Ché ben s’avide, ch’ella avea fallato,","because he knew he had made a mistake,","He felt guilty because he understood that he had done something wrong, he felt remorse"
"E d’un gran velo il viso avea velato,",and covered his face with a great veil.,He veiled his face with a large cloak.
"E sì disse a Paura, sua chugina:","And he said to fear, his cousin:","And he said to fear, his cousin:"
"«Paura, no’ siàn messe nell’aina","Fear, we are put in hatred","Fear, we are put in hostility."
"Di Gielosia, e ciò ci à prochacciato","of jealousy, and this has led to","This has caused a sense of envy, and that has resulted."
"Lo Schifo, perch’egli à cortesegiato","the Resistance, because he wooed","the Resistance, since he had urged"
"Al bel valetto, ch’i’ vid’ier mattina.",to that handsome boy I saw yesterday morning.,to that handsome man I saw yesterday morning.
"Or andiàn tosto, e troviàn quel villano,",Now let's go quickly and find that villain.,Now let us proceed quickly and identify that wicked one.
E gli dirén com’e’ fia malbalito,"and we will tell him how evil he is treated,",and we will tell him how evil he is treated.
"Se Gielosia gli mette adosso mano,",if jealousy puts its hands on him;,If jealousy grabs him.
"Ch’egli à ’n ben guardar troppo fallito,",that he did not look well and failed,that he did not carefully check and was inattentive
"Ch’e’ sì dé eser a ciaschuno strano,",Why should it be to each strange,because it should be to every stranger
E ’l Diavol sì•ll’à ora incortesito».,But the devil made him so refined!,But the devil made him so sophisticated!
"Per lo Schifo trovar, ciaschun’andava,","To find the Resistance, each went","by his wayTo discover the Resistance, everyone followed his own path"
"Per dirli del misfatto molto male,",to tell him about the misdeeds very badly,to inform him of the bad conduct in an extremely negative way
E que’ s’avea fatto un capezale,and that here he had made a bedside,and that here a bed was laid.
"D’un fascio d’erba, e sì soniferava.","from a bundle of grass, and there he fell asleep.","from a bouquet of vegetation, and there he drowsed."
"Vergognia fortemente lo sgridava,","Shame on him, he scolded him.",Shame was severely rebuked.
"Paura   d’altra parte sì•ll’assale,",Fear on the other hand the assailant,Fear somewhere else assaults him.
"Diciendo: «Schifo, ben poco ti chale","Saying, Resistance, little care is taken.","Resistance, very little is considered."
"Che Gielosia sì forte ne grava,",That jealousy is so angry!,That jealousy is so furious!
"E ciò ci avien per te, quest’è palese,","And it is for thee, and this is clear.","and it applies to you, this is evident"
"Quando tu, per la tua malaventura,",when you by your misfortune,"when you, unfortunately your"
Tu vuogli intender or d’eser cortese.,You want to understand or be courteous,you wish to mean or be kind
Ben sa’ ch’e’ non ti move di natura.,You know he doesn't move by nature.,It is understood that it does not change its own.
"Con ciaschedun dé’ star a le difese,",that each must stand in the defenses,that each must guard his own positions
Per ben guardar questa nostra chiusura».,to take a good look at our closure,to carefully examine this conclusion of ours
"Lo Schifo, quando udìo quel romore,",Resistance when it hears that noise,Tolerance when he heard that sound
