Original,Translate_fr_1,Translate_fr_2
E gli giurai a le sante,et je lui ai juré sur les saints,et je lui ai promis solennellement
Ch’e’ per me non sarebe mai marrito.,"qui, ne serait jamais angoissé.",qu'il n'aurait jamais été affligé.
Allor mi disse: «I’ vo’ ben che•ttu venghi,"Alors il m'a dit: ""Je veux vraiment que tu viennes.""","Alors il m'a dit: ""J'aimerais que tu viennes."""
"Dentr’al giardin[o], sì com’e’ ti piace,","dans le jardin, comme tu l'aimes,","à l'intérieur du jardin, car tu l'aimais bien."
Ma’ che lungi dal Fior le tue man tenghi.,Tant que tu gardes tes mains loin de la Fleur.,à condition que tu gardes tes doigts loin de la Fleur.
Le buone donne fatt’ànno far pacie,Les bonnes femmes ont établi la paix,Les bonnes dames ont instauré la concorde.
"Tra me e te: or fa che•lla mantenghi,",entre vous et moi: maintenant assurez-vous de garder,le secret entre nous maintenant assurez-vous de préserver l'intimité
Sì che verso di me non sie fallacie».,afin de ne pas trahir ma confiance.,afin de ne pas enfreindre ma loyauté.
"Venusso, ch’è socorso degli amanti,","Vénus, qui vient au secours des amoureux,","C'est une planète Vénus, qui aide les passionnés d'amour, c'est un globe."
"Ven’ a Bellacoglienza col brandone,","Il est venu de Bell accueil avec une lampe de poche,",Il est venu de Bell avec une lampe.
"E’ si rechava,   a guisa di penone,",qu'il tenait comme une lance,qu'il tenait comme une pique
Per avanpar chiunque l’è davanti.,pour mettre le feu à tous ceux qu'il rencontre.,pour enflammer tous ceux qu'il rencontre.
"A voler racontar de’ suo’ senbianti,",A vouloir raconter sa ressemblance,Pour décrire ses apparences
"E de la sua tranobile fazone,","et sa noble disposition,","et son magnanimité,"
Sarebe assai vie più lungo sermone,Il faudrait beaucoup plus de temps pour le dire.,Il faudrait beaucoup de temps pour l'exprimer.
Ch’a sermonar la vita a tutti i santi.,qui raconter la vie de tous les saints.,raconter la biographie de chaque Saint.
Quando Bellacoglienza sentì ’l caldo,Quand Bell accueil senti la chaleur,étreinte de l'amieQuand Bell accueil perçu l'étreinte affectueuse de la compagne.
"Di quel brandon,   che così l’avanpava,","de cette torche qui la brûlait,",de cette lanterne qui la faisait briller.
Sì tosto fu ’l su’ cuor col mio saldo.,aussitôt son cœur s'est joint au mien;,"Tout de suite, son cœur se fit avec le mien."
"E Venusso, ch’a•cciò la confortava,","et Vénus, qui l'exhortait à cela,","et Vénus, qui l'incitait à cela,"
"Si trasse verso lei col viso baldo,",s'approcha d'elle avec le visage puant,Il s'approcha d'elle avec un visage imposant.
Diciendo che ve•me troppo fallava:,en disant qu'il était coupable pour moi.,En disant qu'il était responsable de moi.
"«Tu falli tropo verso quell’Amante,»",Vénus dit: Tu commets une grosse erreur envers cette maîtresse.,Vénus a dit: Tu commets une grave erreur à l'égard de cette maîtresse.
"Disse Venusso «che cotanto t’ama,",dit Vénus qui t'aime tant;,s'écria Vénus qui t'aime tant.
"Néd i’ non so al mondo sì gran dama,",Je ne connais pas de grande dame au monde.,Je ne connais aucune femme importante dans le monde.
"Che di lui dovess’eser rifusante,",qu'il refusait:,qui n'aurait pas dû l'accepter
"Ch’egli è giovane, bello e avenante,","parce qu'il est jeune, beau et charmant,","Tout le monde l'aimeGrâce à son charme, beauté et jeune âge, tout le monde a une grande sympathie pour lui."
"Cortese, franco e pro, di buona fama:","courtois, loyal, audacieux et bien respecté.","Ce sont des qualités que tout le monde apprécie, qui sont courtoises, loyales, audacieuses et bien respectées."
"Promettili un basciar, e a•tte ’l chiama,",Promets-lui de l'embrasser et appelle-le.,Promets-lui de l'embrasser et invite-le.
Ch’e’ non à huon nel mondo più cielante».,Car personne au monde n'est plus discret que lui.,Car personne au monde n'est plus secret que lui.
Bellacoglienza disse: «I’ vo’ che vegnia,Beau accueil dit: Je veux qu'il vienne,AccueilBell accueil dit: Je souhaite qu'il soit accueilli favorablement
"E basci il Fior, che tanto gli è piaciere,","et embrasse la Fleur qui aime tant,",Caresse la Plante qu'elle aime tant.
"Ma ched e’ sagiamente si contegnia,",mais qu'il soit sage de le contenir,Mais qu'il s'abstienne sagement
"Che siate cierto, ch’e’ no•m’è spiaciere».",Soyons sûrs que ce n'est pas mon chagrin.,que vous êtes sûrs que ce n'est pas mon regret
«Or gli ne manda alcuna buona ’nsegna»,Envoie-lui un bon signe.,Envoyez-lui un bon présage.
"Disse Venùs, «e fagliele a sapere».",Dit Vénus et fais-lui savoir,Il a dit Vénus et l'a informé
Per Bel-Senbiante e per Dolze-Riguardo,pour belle apparence et pour doux regards,pour l'attrait extérieur et l'aimable vue
Mi mandò la piaciente ch’i’ andasse,Il m'a dit que j'allais y aller.,Il m'a dit que je devais y aller.
"Nel su’ giardin, e ch’io il Fior basciase,",dans le jardin et que j'embrasse la Fleur,dans le jardin et qui embrassait la Fleur
"Né non portasse   già lancia né dardo,","de ne porter ni lances ni flèches,",de ne pas introduire d'armes ni de fléchettes
Ché lo Schifo era fatto sì codardo,parce que la Résistance était devenue si lâche,?Pourquoi la Résistance était-elle devenue si vicieuse?
Ch’e’ non mi bisogniava ch’i ’l dottasse.,Je n'avais pas besoin de le craindre.,Il n'y avait aucune raison d'avoir peur de lui.
"Ma tuttor non volea ched i’ v’entrasse,",Mais il ne voulait toujours pas que j'y entre.,Mais il ne voulait toujours pas que je m'y mette.
"Sed e’ non fosse nocte ben a tardo,",À moins qu'il ne soit très tard la nuit.,Sauf s'il était particulièrement tard dans la nuit.
Perciò che Chastità e Gielosia,C'est pourquoi la chasteté et la jalousie,en conséquence qu'il pue et envie
Sì ànno messo Paura e Vergognia,année confiée à la peur et à la honte,l'année qui approche avec crainte et embarras
"In le’ guardar, che non faccia follia,","de la regarder, qu'elle ne fasse pas une folie","Regardez-la, qu'elle ne fasse pas une bêtise."
"Ed un villan, che truov’ognie menzognia,",et un vilain qui trouve tous les mensonges,C'est un méchant qui trouve toute fausseté.
"La guarda, il qual fu nato in Normandia:","la regarde, qui est né en Normandie","Le gardien, dont le fonctionnement est né en Normandie."
"Malabocha, «Que’ c’ognie mal sanpogna».","Malabocha, qui est la source de tous les maux.","Maléfique, qui est la source de toute méchanceté."
"Udendo quella nobile novella,",En écoutant cette noble histoire,en écoutant ce récit illustre
"Che que’ gienti messagi m’aportaro,","Ils m'ont été envoyés par ces messagers,",J'ai été mené par ces émissaires.
Sì forte mente il cuor   mi confortaro,J'ai ressenti beaucoup de consolation dans mon cœur.,J'ai connu une grande consolation dans mon âme.
Che di gioia perde’ quasi la favella.,que par joie j'ai presque perdu le pouvoir de la parole.,que j'ai presque perdu ma capacité à parler.
"Nel giardin me n’anda’ tutto ’n gonella,","Dans le jardin, je suis entré dans ma jupe,","Dans le jardin, je suis entré dans ma cabane."
"Sanz’armadura, com’e’ comandaro,","Sans armes, comme ils l'avaient ordonné.","Désarmés, comme prescrit."
E sì trovai quella col viso chiaro.,et j'ai trouvé celle avec le visage clair,Et j'ai découvert celle avec un visage pâle.
"Bellacoglienza tosto a•ssé m’apella,","Bon accueil, je m'appelle tout de suite.","J'accepte tout de suite, mon nom est"
"E disse: «Vien avanti e bascia ’l Fiore,","Et il dit: Viens, et embrasse la Fleur.",Et il dit: Va-t'en et caresse la Fleur.
"Ma guarda di far cosa che mi spiaccia,","Mais ne fais rien qui me dérange,",Mais assurez-vous de ne rien faire qui me cause des regrets.
Ché•ttu ne perderesti ognie mio amore».,Parce que tu perdrais tout mon amour.,parce que tu perdrais toute trace de mon affection.
"Sì ch’i’ alor feci croce de le braccia,","Alors j'ai croisé les bras,",Alors j'ai posé mes mains sur mes hanches.
E sì ’l basciai co•molto gran tremore.,"et embrassa la Fleur avec un grand tremblement,",et il embrassa la Fleur avec une grande crainte.
Sì forte ridottava suo minaccia.,Si effrayé par sa menace,si terrifié par son intimidation
Del molto olor ch’al cor m’entrò basciando,du grand parfum qui m'entra dans le cœur tandis que je m'embrasse.,de l'arôme intense qui m'a envahi l'âme pendant que j'embrassais
"Quel pretioso Fior, che tanto aulia,",cette précieuse fleur qui est si parfumée,ce pétale florissant qui est si parfumé
Contar né dir per me non si poria.,Je ne suis pas en mesure de parler ou de dire;,Je ne suis pas en mesure de m'exprimer ou de dire.
Ma dirò come ’l mar s’andò   turbando,Mais je dirai comment la mer est devenue orageuse,mais je décrirai comment la mer est devenue agitée
"Per MalaBocha, quel ladro normando,","pour Malabocha, ce voleur normand,","C'était un vrai défi pour Malabocha, ce brigand normand, c'était une vraie provocation."
Che se n’avide e svegliò Gielosia,qui a vu l'événement et éveillé la jalousie,qui observa l'épisode et suscita la rivalité.
"E Chastità, ché ciaschuna dormia,","et la chasteté, que chacun dormait.","et la pureté, que chacun dormait"
Perch’i’ fu’ del giardin rimesso in bando.,C'est pourquoi j'ai de nouveau été chassé du jardin.,C'est pourquoi j'ai été expulsé de nouveau du jardin.
"E sì vi conterò de la forteza,",Et maintenant je vais vous parler de la forteresse.,Je vais vous montrer la forteresse.
"Dove Bellacoglienza fu ’n prigione,",où Bell a été en prison.,où Bell accueil fut détenu
Ch’Amor abatté poi per su’ prodezza;,Celui que l'Amour a détruit par sa force.,ce que l'Amour a brisé par sa vigueur.
E come Schifo mi tornò fellone,et comment la Résistance est devenue hostile,et comment la Résistance est devenue hostile
E lungo tenpo mi tene in distreza;,"Et il me tint dans l'angoisse pendant longtemps,",et m'a profondément inquiétée pendant une longue période.
E come ritornò a me Ragione.,et comment la Raison est revenue vers moi.,et comment la raison est réapparue par moi.
"Castità, che da Veno è guereggiata,","La chasteté, contre laquelle Vénus fait la guerre,","est la plus belle vertuPudicice, contre laquelle Vénus fait bataille, est l'excellence parmi les qualités."
"Sì disse a Gielosia: «Per Dio, merzede!","Il dit à la jalousie: ""Au nom de Dieu, aie pitié!","Il dit alors à l'envie: ""Au nom de Dieu, montre ta miséricorde!"
"S’a questo fatto l’uon non ci provede,","s'il n'en est pas ainsi,",si ce fait un ne prend pas soin
I’ potre’ ben tosto esere adontata.,Je pourrais bientôt avoir honte.,Je pourrais bientôt souffrir d'humiliation.
"Vergognia e Paura m’ànno abandonata,",la honte et la peur m'ont abandonné;,Ils m'ont quitté.
"In quello Schifo foll’è chi si crede,",dans cette résistance en laquelle on croit,dans cette foi convaincue
Ch’i’ son ciertana   ch’e’ non ama a fede,"parce que je suis sûr qu'il n'aime pas fidèlement,",Parce que je suis sûr qu'il n'aime pas avec loyauté.
Po’ del giardin sì mal guardò l’entrata.,puis il a regardé l'entrée du jardin si mal.,puis il a regardé l'entrée du jardin si mal.
"Onde vo’ siete  la miglior guardiana,",où vous êtes la meilleure gardienne.,où vous êtes le gardien le plus digne de confiance
Ch’i’ ’n esto mondo potese trovare:,que ce monde pouvait trouver,la paix que ce monde puisse atteindre l'harmonie
Gran luogo avete in  Lonbardia e ’n Toschana.,Vous êtes bien connus en Lombardie et en Toscane.,Vous êtes célèbres en Lombardie et en Toscane.
"Per Dio, ched e’ vi piaccia il Fior guardare,","Au nom de Dieu, que vous aimiez regarder la Fleur !","Au nom du Divin, que vous aimiez contempler la Beauté!"
"Ché, se que’, che ’l basciò, punto lo sgrana,","qui, si celui-ci, qui l'embrasse, devait le ruiner,","Ce serait une tragédie que si cet acte, que je l'embrasse, devait le déranger, ce serait une catastrophe."
"Non fia misfatto, ch’uon poss’amendare».",Il n'y a pas de mal à ça. Il n'y a pas de solution.,ne soit pas commis d'erreur ne peut jamais être réparé.
"Gielosia disse: «I’ prendo a me la guarda,","Jalousie dit: ""Je prends la garde.""","Jalousie proclama: ""Je prendrai la surveillance."""
"Ch’a ben guardar il Fior è mia credenza,",de regarder la Fleur est mon credo,de contempler la Fleur est mon credo
"Ch’i’ avrò giente di tal provedenza,",que j'aurai des gens de cette providence,que j'aurai des gens à l'aide providentielle
Ched i’ non dotto già che Veno gli arda».,que je n'ai pas peur que Vénus les enflamme.,que je n'ai aucune crainte que Vénus les brûle.
"Al giardin se n’andò, fier’ e ghagliarda,","Dans le jardin, elle est partie, fière et forte,","Dans le jardin, il s'en alla, fière et puissante."
"Ed ivi si trovò Bellacoglienza,",et on les trouve Bell accueil,et on les trouve Accueil bienveillant
"E disele: «Tu à’ fatta tal falenza,","Il lui a dit: ""Tu as fait une telle erreur.""","Il lui a dit: ""Tu as commis une telle inattention."""
Ch’i’ ti tengho per folle e per musarda.,Je vous considère comme insensés et stupides.,que je vous juge insensés et fatues.
"Ed a voi dico, Paur’ e Vergognia,","Et je vous dis, Peur et Honte","J'exprime à vous, la peur et le dégoût"
"Che chi di Fior guardar in voi si fida,",qui nous fait confiance pour regarder la Fleur,de Lotoquali en vous fait confiance pour scruter la Fleur de Lotus
Cierta son ch’e’ non à lett’ a Bolognia.,Je suis sûr qu'il n'a pas étudié à Bologne.,Je suis sûr qu'il n'a pas appris à Bologne.
"E quello Schifo, che punt’or non grida,","Et cette Résistance, qui ne crie plus,","Et cette Tenacia, qui ne s'exclame pas maintenant."
"Gli varia me’ ch’e’ fosse in Catalognia,","Ce serait mieux pour lui qu'il soit en Catalogne,","Au lieu de Madrid, il serait plus avantageux pour lui s'il était en Catalogne qu'à Madrid."
Sed e’ non guarda   ben ciò ch’egli à ’n guida».,s'il n'est pas en mesure de protéger ce qu'il prend en charge.,s'il n'est pas en mesure de garder ce qui est à sa responsabilité.
Vergognia contra terra il capo china,"Honte à la tête vers le sol,",Honte s'incline humblement vers le sol.
"Ché ben s’avide, ch’ella avea fallato,","parce qu'il savait qu'il avait fait une erreur,","Il se sentait coupable parce qu'il comprenait qu'il avait fait une erreur, qu'il avait des remords."
