Original,Translate_es_1,Translate_es_2
Sì tosto fu ’l su’ cuor col mio saldo.,"En seguida, su corazón se unió al mío.",Inmediatamente su corazón se acostó con el mío.
"E Venusso, ch’a•cciò la confortava,","y Venus, que la exhortaba a esto,","y Venus, que la incitaba a esto,"
"Si trasse verso lei col viso baldo,",Se acercó a ella con la cara poderosa,Se acercó a ella con una cara imponente.
Diciendo che ve•me troppo fallava:,Dijo que estaba mal por mí.,Afirmando que era responsable de mí.
"«Tu falli tropo verso quell’Amante,»","Venus dijo: ""Estás cometiendo un gran error con esa amante",Venus dijo: Estás cometiendo un grave error con esa amante.
"Disse Venusso «che cotanto t’ama,",dijo Venus que te ama tanto;,exclamó Venus que te amaba tanto.
"Néd i’ non so al mondo sì gran dama,",No conozco a ninguna gran dama del mundo.,No conozco a ninguna mujer importante en el mundo.
"Che di lui dovess’eser rifusante,",que de él se negara:,que no tuviera que aceptarlo
"Ch’egli è giovane, bello e avenante,","porque es joven, hermoso y encantador,","Todo el mundo lo ama gracias a su encanto, belleza y juventud, todos tienen una gran simpatía por él."
"Cortese, franco e pro, di buona fama:","Cortesía, leal, audaz y bien respetado.","Cortés, leal, atrevido y bien respetado son cualidades que todos aprecian."
"Promettili un basciar, e a•tte ’l chiama,",Prométele un beso y llámalo.,Prométele un beso e invitalo a ti.
Ch’e’ non à huon nel mondo più cielante».,Porque nadie en el mundo es más discreto que él.,Porque nadie en el mundo es más reservado que él.
Bellacoglienza disse: «I’ vo’ che vegnia,"Hermosa acogida dijo: ""Quiero que venga",RecepciónBell dijo: Deseo que se le dé la bienvenida
"E basci il Fior, che tanto gli è piaciere,","y besa la Flor que tanto le gusta,",Acaricia la Planta que tanto le gusta.
"Ma ched e’ sagiamente si contegnia,",pero que sabiamente se contiene,pero que sabiamente se abstenga
"Che siate cierto, ch’e’ no•m’è spiaciere».",Que estés seguro de que esto no es mi pena.,Que estés seguro de que esto no es mi pesar.
«Or gli ne manda alcuna buona ’nsegna»,Ahora mándale una buena señal.,Envíale un buen presagio a él ahora
"Disse Venùs, «e fagliele a sapere».",Dijo Venus y hazle saber,Afirmó Venus e infórmelo
Per Bel-Senbiante e per Dolze-Riguardo,para hermoso aspecto y para dulce mirada,para atractivo exterioridad y para amable mirada
Mi mandò la piaciente ch’i’ andasse,Me dijo que me iba.,Me dijo que tenía que irme.
"Nel su’ giardin, e ch’io il Fior basciase,",en el jardín y que besara la Flor,en el jardín y que besara la Floración
"Né non portasse   già lancia né dardo,","que no lleven lanzas ni flechas,",No introducir armas ni dardos
Ché lo Schifo era fatto sì codardo,porque la Resistencia se había vuelto tan cobarde,¿Por qué la Resistencia se había vuelto tan vil?
Ch’e’ non mi bisogniava ch’i ’l dottasse.,No había necesidad de que lo temiera;,No había razón para tenerle miedo.
"Ma tuttor non volea ched i’ v’entrasse,",Pero todavía no quería que entrara.,Pero todavía no quería que entrara en ella.
"Sed e’ non fosse nocte ben a tardo,",A menos que fuera muy tarde por la noche.,A menos que fuera muy tarde para la noche.
Perciò che Chastità e Gielosia,"Por lo tanto, qué castidad y celos",por lo tanto que la pubertad y la envidia
Sì ànno messo Paura e Vergognia,año confiado al miedo y la vergüenza,año que viene con miedo y vergüenza
"In le’ guardar, che non faccia follia,","De mirarla a ella, que no haga una locura.","Observe usted, que no cometa una tontería"
"Ed un villan, che truov’ognie menzognia,",Y un villano que encuentra toda mentira,es un inicuo que encuentra toda falsedad
"La guarda, il qual fu nato in Normandia:","la mira, el cual nació en Normandía","El guardia, cuyo funcionamiento nació en Normandía."
"Malabocha, «Que’ c’ognie mal sanpogna».","Malabocha, que es la fuente de todo mal.","Maléfica, que es la fuente de toda maldad."
"Udendo quella nobile novella,",Oyendo esa noble historia,Escuchando esa ilustre narración
"Che que’ gienti messagi m’aportaro,",Me trajeron a esos mensajeros.,Yo fui conducido por esos emisarios.
Sì forte mente il cuor   mi confortaro,He sentido mucho consuelo en mi corazón.,He experimentado un gran consuelo en mi alma.
Che di gioia perde’ quasi la favella.,que casi pierdo el poder de la palabra por alegría.,que casi perdí la habilidad de hablar por alborozo.
"Nel giardin me n’anda’ tutto ’n gonella,","Entré en el jardín en mi falda,",Entré en mi cabaña en el jardín.
"Sanz’armadura, com’e’ comandaro,","Sin armas, como habían mandado.","Desarmados, según lo prescrito."
E sì trovai quella col viso chiaro.,Y encontré a la de la cara clara.,Y descubrí la de la cara pálida.
"Bellacoglienza tosto a•ssé m’apella,",Me llamo Bella Recepción.,"Acepto inmediatamente, mi nombre es"
"E disse: «Vien avanti e bascia ’l Fiore,","Y dijo: Ven, y besa la Flor.",Y dijo: Levántate y acaricia la Flor.
"Ma guarda di far cosa che mi spiaccia,",Pero no hagas nada que me importe.,Pero asegúrate de no hacer nada que me arrepienta.
Ché•ttu ne perderesti ognie mio amore».,Porque perderías todo mi amor.,Porque perderías todo rastro de mi afecto.
"Sì ch’i’ alor feci croce de le braccia,",Así que hice que me cruzara los brazos.,Entonces me puse las manos sobre las caderas.
E sì ’l basciai co•molto gran tremore.,"y besó la Flor con gran temblor,",y abrazó la Flor con gran estremecimiento.
Sì forte ridottava suo minaccia.,Tan asustado por su amenaza,tan aterrorizado por su intimidación
Del molto olor ch’al cor m’entrò basciando,del mucho perfume que en mi corazón entró mientras besaba,del intenso aroma que me invadió el alma mientras besaba
"Quel pretioso Fior, che tanto aulia,",Esa preciosa flor que es tan perfumada,el florido pétalo que tanto es fragante
Contar né dir per me non si poria.,No puedo hablar ni decir;,No puedo expresarme ni hablar.
Ma dirò come ’l mar s’andò   turbando,Pero diré que el mar se tornó tempestuoso,Pero voy a describir cómo el mar se puso agitado
"Per MalaBocha, quel ladro normando,","para Malabocha, ese ladrón normando,","Era un verdadero desafío para Malabocha, ese ladrón normando, era una verdadera provocación."
Che se n’avide e svegliò Gielosia,que vio el acontecimiento y despertó los celos,que observó el episodio y levantó la rivalidad.
"E Chastità, ché ciaschuna dormia,","y la castidad, que cada una dormía","y la pureza, que cada una descansaba"
Perch’i’ fu’ del giardin rimesso in bando.,para que me echaran de nuevo del jardín,De modo que me expulsaron otra vez del jardín.
"E sì vi conterò de la forteza,",Y ahora os contaré lo de la fortaleza.,Ahora les mostraré la fortaleza.
"Dove Bellacoglienza fu ’n prigione,",donde Bell estuvo en la cárcel,donde Bell recibió a su prisionero
Ch’Amor abatté poi per su’ prodezza;,lo que el Amor destruyó con su fuerza.,lo que el Amor ha derrumbado con su vigor.
E come Schifo mi tornò fellone,y cómo la Resistencia se ha vuelto hostil,Y cómo la Resistencia se hizo hostil
E lungo tenpo mi tene in distreza;,"y me mantuvo en angustia por mucho tiempo,",y me causó una profunda inquietud durante mucho tiempo.
E come ritornò a me Ragione.,Y cómo regresó la razón a mí.,Y como la Razonabilidad ha vuelto a aparecer de mí.
"Castità, che da Veno è guereggiata,","Castidad, contra la cual Venus hace la guerra,","es la virtud más bellaPudicicia, contra la que Venus lucha, es la excelencia entre las cualidades."
"Sì disse a Gielosia: «Per Dio, merzede!","De modo que dijo a los celos: ""¡En el nombre de Dios, ten piedad!","Así dijo a la envidia: ""¡En el nombre de Dios, muestra misericordia!"
"S’a questo fatto l’uon non ci provede,",si a este hecho uno no provee,si este hecho uno no se preocupa
I’ potre’ ben tosto esere adontata.,Pronto podré sufrir de vergüenza.,Pronto podría sufrir de humillación.
"Vergognia e Paura m’ànno abandonata,",Vergüenza y miedo me han abandonado;,Desdoro y estremecimiento me han dejado.
"In quello Schifo foll’è chi si crede,",en esa resistencia en la que se cree,en esa fe convencida
Ch’i’ son ciertana   ch’e’ non ama a fede,"porque estoy seguro de que no ama fielmente,",Porque estoy seguro de que no ama con lealtad.
Po’ del giardin sì mal guardò l’entrata.,Luego miró la entrada del jardín tan mal.,Luego observó la entrada del jardín tan mal.
"Onde vo’ siete  la miglior guardiana,",Donde usted es la mejor guardiana,donde usted es la más confiable guardiana
Ch’i’ ’n esto mondo potese trovare:,que este mundo pudiera encontrar,la paz para que este mundo alcance la armonía
Gran luogo avete in  Lonbardia e ’n Toschana.,Usted es bien conocido en Lombardía y Toscana.,Sois famosos en Lombardía y Toscana.
"Per Dio, ched e’ vi piaccia il Fior guardare,","¡En nombre de Dios, que os guste ver la Flor!","¡En nombre del Divino, que os plazca contemplar la Belleza!"
"Ché, se que’, che ’l basciò, punto lo sgrana,","que, si eso, que le beso, tuviera que arruinarlo,","Sería una tragedia que, si ese acto, que lo beso, lo destrozara, sería una catástrofe."
"Non fia misfatto, ch’uon poss’amendare».","No es miserable, nunca puede ser arreglado.","no se cometa ningún error, nunca puede ser reparado."
"Gielosia disse: «I’ prendo a me la guarda,","celos dijo: ""Yo tomo el guardia.""","Celos proclamó: ""Yo tomaré la vigilancia."""
"Ch’a ben guardar il Fior è mia credenza,",de mirar la Flor es mi credo,de contemplar la Flor es mi credo
"Ch’i’ avrò giente di tal provedenza,",que yo tendré gente de tal providencia,que tendré gente con ayuda providencial
Ched i’ non dotto già che Veno gli arda».,Que no tengo miedo de que Venus los encienda.,que no tengo miedo de que Venus los queme.
"Al giardin se n’andò, fier’ e ghagliarda,","En el jardín se fue, orgullosa y fuerte,","En el jardín se fue, orgullosa y poderosa."
"Ed ivi si trovò Bellacoglienza,",y se los encuentra Bell recepción,Y se les encuentra acogida bondadosa
"E disele: «Tu à’ fatta tal falenza,","Le dijo: ""Tú cometiste ese error.""","Le dijo: ""Has cometido semejante descuido."""
Ch’i’ ti tengho per folle e per musarda.,que los considero tontos y tontos.,que os juzgo sin sentido y fatui.
"Ed a voi dico, Paur’ e Vergognia,","Y a ustedes les digo, Miedo y Vergüenza","Les expreso, miedo y asqueroso"
"Che chi di Fior guardar in voi si fida,",que confía en ti para ver la Flor,de Lotocuales de ustedes confían en escudriñar la Flor de Loto
Cierta son ch’e’ non à lett’ a Bolognia.,Estoy seguro de que no estudió en Bolonia.,Estoy seguro de que no aprendió en Bolonia.
"E quello Schifo, che punt’or non grida,","Y esa Resistencia, que ahora no está gritando,","Y esa ternura, que no exclama ahora."
"Gli varia me’ ch’e’ fosse in Catalognia,","Sería mejor para él que estuviera en Cataluña,","En lugar de Madrid, sería más beneficioso para él si estuviera en Cataluña que en Madrid."
Sed e’ non guarda   ben ciò ch’egli à ’n guida».,si no es capaz de proteger lo que está en su cuidado.,si no es capaz de guardar lo que es a su responsabilidad.
Vergognia contra terra il capo china,"Es vergonzoso inclinar la cabeza hacia el suelo,",Vergüenza se inclina humildemente hacia el suelo.
"Ché ben s’avide, ch’ella avea fallato,","porque sabía que había cometido un error,","Se sentía culpable porque se dio cuenta de que había cometido un error, se arrepintió"
"E d’un gran velo il viso avea velato,",Y cubrió su cara con un gran velo.,Vivió su cara con una capa grande.
"E sì disse a Paura, sua chugina:","Y dijo con miedo, su prima:","Y dijo a temor, su prima:"
"«Paura, no’ siàn messe nell’aina","Miedo, estamos metidos en el odio.","Miedo, estamos en la hostilidad."
"Di Gielosia, e ciò ci à prochacciato","de celos, y eso provocó","Esto ha provocado un sentimiento de envidia, y eso ha dado lugar a."
"Lo Schifo, perch’egli à cortesegiato","la Resistencia, porque él ha cortejado","la Resistencia, porque él había pedido"
"Al bel valetto, ch’i’ vid’ier mattina.",A ese chico guapo que vi ayer por la mañana.,A ese hombre guapo que pasamos ayer por la mañana.
"Or andiàn tosto, e troviàn quel villano,",Ahora vamos rápido y encontramos a ese villano.,Ahora vamos rápido y vemos a ese inicuo.
E gli dirén com’e’ fia malbalito,"y le diremos lo mal que está siendo tratado,",Y le proclamaremos lo mal que está.
"Se Gielosia gli mette adosso mano,",si los celos le ponen las manos encima;,Si los celos lo agarran.
"Ch’egli à ’n ben guardar troppo fallito,",que él no miró bien y falló,que no ha controlado cuidadosamente y ha sido descuidado
"Ch’e’ sì dé eser a ciaschuno strano,",¿Por qué debería ser extraño para cada uno,¿Por qué debería ser a todos los extraños
E ’l Diavol sì•ll’à ora incortesito».,¡Pero el diablo lo ha hecho tan elegante!,Pero el diablo lo hizo tan sofisticado.
"Per lo Schifo trovar, ciaschun’andava,","Para encontrar la Resistencia, cada uno iba","por su caminoPara descubrir la Resistencia, cada uno seguía su propio camino"
"Per dirli del misfatto molto male,",para hablarle del maldito infierno.,para informarle de la mala conducta de una manera extremadamente negativa
E que’ s’avea fatto un capezale,y que aquí se había hecho una cabecera,y que aquí se había puesto una cama
"D’un fascio d’erba, e sì soniferava.","de un rayo de hierba, y allí se durmió.","de un ramo de vegetación, y allí se durmió."
"Vergognia fortemente lo sgridava,",Vergüenza le gritaba con fuerza,Vergüenza se le regañaba severamente.
"Paura   d’altra parte sì•ll’assale,","Miedo, por otra parte, lo asalta.",Temo en otro lugar lo ataca.
"Diciendo: «Schifo, ben poco ti chale","diciendo: Resistencia, muy poco se cuida","Resistencia, muy poco se considera."
"Che Gielosia sì forte ne grava,",¡Que los celos están tan enojados!,¡Que los celos son tan furiosos!
"E ciò ci avien per te, quest’è palese,","y esto es para ti, esto es evidente","y esto se aplica a ti, esto es evidente"
